valor1,valor2,operador,resultado
925,859,+,1784
188,429,+,617
206,750,+,956
696,466,+,1162
730,621,+,1351
118,409,+,527
285,628,+,913
11,523,+,534
169,620,+,789
101,149,+,250
235,510,+,745
386,677,+,1063
507,359,+,866
269,468,+,737
709,834,+,1543
442,174,+,616
121,531,+,652
484,637,+,1121
985,219,+,1204
262,326,+,588
603,903,+,1506
895,358,+,1253
719,744,+,1463
767,290,+,1057
286,380,+,666
889,946,+,1835
420,481,+,901
114,766,+,880
655,560,+,1215
767,622,+,1389
472,211,+,683
793,674,+,1467
975,137,+,1112
216,818,+,1034
98,507,+,605
90,646,+,736
641,105,+,746
73,857,+,930
511,639,+,1150
214,785,+,999
866,948,+,1814
148,139,+,287
938,370,+,1308
983,83,+,1066
619,143,+,762
353,465,+,818
729,302,+,1031
916,733,+,1649
932,419,+,1351
451,76,+,527
298,934,+,1232
358,414,+,772
133,724,+,857
789,55,+,844
493,169,+,662
362,466,+,828
401,400,+,801
40,430,+,470
18,657,+,675
145,354,+,499
702,246,+,948
30,866,+,896
709,417,+,1126
237,374,+,611
332,659,+,991
313,656,+,969
991,71,+,1062
239,11,+,250
377,75,+,452
584,190,+,774
852,494,+,1346
660,300,+,960
408,178,+,586
945,864,+,1809
604,51,+,655
562,232,+,794
140,661,+,801
515,529,+,1044
918,733,+,1651
546,940,+,1486
758,907,+,1665
364,968,+,1332
228,63,+,291
179,545,+,724
550,974,+,1524
892,522,+,1414
860,596,+,1456
842,235,+,1077
848,73,+,921
880,883,+,1763
867,976,+,1843
700,855,+,1555
43,89,+,132
250,421,+,671
842,274,+,1116
925,128,+,1053
701,496,+,1197
265,591,+,856
986,320,+,1306
773,478,+,1251
