valor1,valor2,operador,resultado
82,208,+,290
920,324,+,1244
824,748,+,1572
96,763,+,859
336,261,+,597
956,66,+,1022
469,581,+,1050
495,38,+,533
666,758,+,1424
681,984,+,1665
715,998,+,1713
992,760,+,1752
494,267,+,761
891,568,+,1459
254,256,+,510
512,988,+,1500
912,946,+,1858
149,542,+,691
512,714,+,1226
948,232,+,1180
100,689,+,789
496,290,+,786
393,73,+,466
239,615,+,854
982,725,+,1707
688,119,+,807
444,392,+,836
746,170,+,916
531,220,+,751
823,202,+,1025
522,32,+,554
491,956,+,1447
787,62,+,849
113,539,+,652
414,190,+,604
391,40,+,431
861,269,+,1130
738,274,+,1012
404,21,+,425
244,896,+,1140
165,771,+,936
604,736,+,1340
220,372,+,592
675,240,+,915
646,901,+,1547
614,72,+,686
753,543,+,1296
376,809,+,1185
360,163,+,523
481,789,+,1270
970,890,+,1860
458,129,+,587
194,645,+,839
700,28,+,728
299,304,+,603
624,283,+,907
180,932,+,1112
360,178,+,538
249,897,+,1146
773,936,+,1709
873,35,+,908
838,949,+,1787
209,111,+,320
878,425,+,1303
577,969,+,1546
614,568,+,1182
94,500,+,594
491,300,+,791
429,337,+,766
3,684,+,687
977,530,+,1507
203,682,+,885
800,721,+,1521
5,176,+,181
428,51,+,479
593,348,+,941
330,743,+,1073
338,899,+,1237
918,525,+,1443
942,386,+,1328
514,642,+,1156
695,84,+,779
108,987,+,1095
261,393,+,654
37,996,+,1033
574,591,+,1165
88,242,+,330
856,300,+,1156
775,153,+,928
958,27,+,985
149,771,+,920
901,928,+,1829
249,509,+,758
784,562,+,1346
749,23,+,772
429,682,+,1111
711,880,+,1591
428,385,+,813
733,741,+,1474
781,760,+,1541
767,804,+,1571
553,299,+,852
416,806,+,1222
692,738,+,1430
762,894,+,1656
448,40,+,488
519,326,+,845
929,748,+,1677
67,839,+,906
149,778,+,927
139,146,+,285
926,955,+,1881
261,859,+,1120
204,903,+,1107
249,227,+,476
605,936,+,1541
810,12,+,822
33,17,+,50
179,546,+,725
980,137,+,1117
970,468,+,1438
469,772,+,1241
500,509,+,1009
393,341,+,734
316,476,+,792
892,727,+,1619
757,927,+,1684
871,660,+,1531
406,732,+,1138
546,75,+,621
931,758,+,1689
575,954,+,1529
838,565,+,1403
371,39,+,410
471,895,+,1366
596,598,+,1194
683,649,+,1332
35,33,+,68
1,515,+,516
146,911,+,1057
330,1,+,331
141,875,+,1016
745,173,+,918
79,828,+,907
764,96,+,860
505,267,+,772
723,217,+,940
799,387,+,1186
394,855,+,1249
719,554,+,1273
918,220,+,1138
81,74,+,155
428,761,+,1189
546,837,+,1383
278,884,+,1162
860,594,+,1454
84,586,+,670
181,231,+,412
874,9,+,883
775,805,+,1580
668,267,+,935
240,89,+,329
781,692,+,1473
811,776,+,1587
338,690,+,1028
703,252,+,955
173,67,+,240
163,308,+,471
176,148,+,324
743,50,+,793
654,32,+,686
513,470,+,983
298,404,+,702
702,34,+,736
965,95,+,1060
954,828,+,1782
824,392,+,1216
501,974,+,1475
531,447,+,978
991,254,+,1245
845,764,+,1609
102,531,+,633
316,552,+,868
191,682,+,873
648,720,+,1368
655,405,+,1060
345,397,+,742
72,287,+,359
712,890,+,1602
265,401,+,666
850,768,+,1618
320,752,+,1072
945,504,+,1449
20,748,+,768
537,880,+,1417
52,217,+,269
994,683,+,1677
346,791,+,1137
390,926,+,1316
743,559,+,1302
814,977,+,1791
86,950,+,1036
478,932,+,1410
49,354,+,403
951,938,+,1889
210,119,+,329
727,407,+,1134
43,332,+,375
872,875,+,1747
644,721,+,1365
41,622,+,663
5,507,+,512
186,28,+,214
20,604,+,624
122,804,+,926
959,803,+,1762
576,170,+,746
307,296,+,603
737,177,+,914
68,985,+,1053
893,941,+,1834
219,1,+,220
423,263,+,686
131,104,+,235
139,330,+,469
331,55,+,386
832,666,+,1498
155,527,+,682
432,384,+,816
426,91,+,517
735,578,+,1313
123,841,+,964
367,377,+,744
608,790,+,1398
662,871,+,1533
102,537,+,639
934,102,+,1036
665,484,+,1149
425,222,+,647
858,663,+,1521
507,414,+,921
386,206,+,592
801,193,+,994
41,538,+,579
446,710,+,1156
640,606,+,1246
3,14,+,17
819,64,+,883
58,177,+,235
22,277,+,299
66,943,+,1009
837,762,+,1599
839,215,+,1054
312,657,+,969
533,764,+,1297
321,690,+,1011
478,797,+,1275
419,392,+,811
12,699,+,711
802,775,+,1577
229,252,+,481
884,667,+,1551
44,487,+,531
68,533,+,601
809,906,+,1715
641,302,+,943
514,907,+,1421
935,931,+,1866
995,154,+,1149
305,238,+,543
909,215,+,1124
742,479,+,1221
917,459,+,1376
117,587,+,704
954,370,+,1324
945,325,+,1270
732,72,+,804
896,885,+,1781
433,505,+,938
582,83,+,665
495,709,+,1204
125,629,+,754
976,33,+,1009
709,877,+,1586
86,372,+,458
324,903,+,1227
863,774,+,1637
703,251,+,954
399,821,+,1220
75,921,+,996
994,598,+,1592
322,728,+,1050
164,324,+,488
687,689,+,1376
568,749,+,1317
231,416,+,647
348,536,+,884
405,534,+,939
945,182,+,1127
762,152,+,914
91,443,+,534
325,8,+,333
633,172,+,805
382,319,+,701
886,799,+,1685
215,567,+,782
815,823,+,1638
240,954,+,1194
446,619,+,1065
726,520,+,1246
120,239,+,359
9,206,+,215
10,580,+,590
81,278,+,359
558,626,+,1184
732,988,+,1720
286,42,+,328
237,815,+,1052
508,925,+,1433
683,540,+,1223
396,603,+,999
949,983,+,1932
606,31,+,637
523,687,+,1210
381,963,+,1344
889,929,+,1818
615,511,+,1126
134,428,+,562
510,852,+,1362
220,328,+,548
673,599,+,1272
412,119,+,531
884,852,+,1736
374,882,+,1256
952,290,+,1242
636,71,+,707
236,733,+,969
474,26,+,500
368,126,+,494
976,206,+,1182
444,643,+,1087
190,768,+,958
387,962,+,1349
424,317,+,741
649,560,+,1209
392,99,+,491
558,348,+,906
74,282,+,356
841,756,+,1597
855,162,+,1017
366,269,+,635
769,800,+,1569
624,151,+,775
979,738,+,1717
831,214,+,1045
876,338,+,1214
982,798,+,1780
6,225,+,231
636,282,+,918
500,435,+,935
158,501,+,659
662,884,+,1546
477,632,+,1109
844,99,+,943
974,616,+,1590
645,61,+,706
253,504,+,757
773,629,+,1402
51,123,+,174
708,134,+,842
471,362,+,833
446,212,+,658
856,331,+,1187
417,144,+,561
406,426,+,832
821,234,+,1055
249,590,+,839
418,835,+,1253
201,420,+,621
431,135,+,566
372,599,+,971
113,693,+,806
929,210,+,1139
676,634,+,1310
852,512,+,1364
42,519,+,561
531,855,+,1386
355,552,+,907
953,843,+,1796
210,54,+,264
884,245,+,1129
444,361,+,805
636,975,+,1611
971,631,+,1602
645,993,+,1638
651,899,+,1550
105,139,+,244
949,528,+,1477
581,169,+,750
528,757,+,1285
895,641,+,1536
498,845,+,1343
979,25,+,1004
947,105,+,1052
437,490,+,927
42,650,+,692
904,707,+,1611
623,294,+,917
921,916,+,1837
129,705,+,834
46,398,+,444
705,130,+,835
715,298,+,1013
100,720,+,820
118,545,+,663
209,228,+,437
104,528,+,632
805,686,+,1491
610,119,+,729
149,480,+,629
450,156,+,606
740,400,+,1140
474,65,+,539
152,402,+,554
842,279,+,1121
978,969,+,1947
137,21,+,158
424,80,+,504
135,84,+,219
92,890,+,982
597,53,+,650
638,710,+,1348
408,215,+,623
643,985,+,1628
602,288,+,890
973,252,+,1225
769,168,+,937
42,175,+,217
476,81,+,557
689,464,+,1153
175,439,+,614
729,634,+,1363
377,803,+,1180
336,726,+,1062
733,87,+,820
515,858,+,1373
609,997,+,1606
281,172,+,453
411,166,+,577
461,262,+,723
146,609,+,755
865,655,+,1520
847,86,+,933
145,214,+,359
912,645,+,1557
668,358,+,1026
9,742,+,751
57,740,+,797
74,828,+,902
550,109,+,659
98,568,+,666
360,507,+,867
575,612,+,1187
889,765,+,1654
508,324,+,832
856,399,+,1255
85,559,+,644
335,305,+,640
260,74,+,334
506,988,+,1494
406,471,+,877
636,176,+,812
278,845,+,1123
575,369,+,944
985,506,+,1491
871,138,+,1009
348,162,+,510
171,85,+,256
732,23,+,755
267,823,+,1090
938,216,+,1154
839,235,+,1074
647,71,+,718
938,682,+,1620
159,645,+,804
567,305,+,872
105,673,+,778
173,45,+,218
999,633,+,1632
979,764,+,1743
107,963,+,1070
481,501,+,982
798,43,+,841
751,692,+,1443
64,657,+,721
918,641,+,1559
908,131,+,1039
849,721,+,1570
822,967,+,1789
760,792,+,1552
394,236,+,630
456,563,+,1019
417,199,+,616
850,407,+,1257
289,663,+,952
788,52,+,840
56,255,+,311
108,299,+,407
474,201,+,675
837,154,+,991
509,281,+,790
129,537,+,666
239,910,+,1149
250,535,+,785
368,661,+,1029
133,959,+,1092
820,549,+,1369
905,867,+,1772
490,848,+,1338
487,695,+,1182
794,929,+,1723
491,143,+,634
641,731,+,1372
892,311,+,1203
232,258,+,490
527,44,+,571
719,413,+,1132
430,708,+,1138
289,670,+,959
670,35,+,705
716,261,+,977
167,424,+,591
886,874,+,1760
740,499,+,1239
663,531,+,1194
918,565,+,1483
27,718,+,745
330,794,+,1124
142,900,+,1042
846,857,+,1703
350,860,+,1210
790,937,+,1727
215,515,+,730
480,544,+,1024
738,127,+,865
611,492,+,1103
412,257,+,669
977,890,+,1867
274,673,+,947
345,234,+,579
546,38,+,584
527,763,+,1290
258,331,+,589
45,712,+,757
436,934,+,1370
17,998,+,1015
779,317,+,1096
150,41,+,191
522,763,+,1285
179,758,+,937
491,54,+,545
376,422,+,798
887,120,+,1007
74,260,+,334
590,391,+,981
713,490,+,1203
944,848,+,1792
886,25,+,911
718,877,+,1595
427,218,+,645
47,641,+,688
541,422,+,963
945,50,+,995
163,565,+,728
358,213,+,571
252,504,+,756
366,806,+,1172
149,130,+,279
208,791,+,999
628,996,+,1624
800,729,+,1529
138,509,+,647
603,746,+,1349
13,125,+,138
958,36,+,994
812,582,+,1394
263,653,+,916
783,702,+,1485
119,765,+,884
632,62,+,694
992,345,+,1337
320,862,+,1182
217,651,+,868
485,928,+,1413
482,972,+,1454
948,374,+,1322
207,970,+,1177
314,643,+,957
911,420,+,1331
925,64,+,989
84,392,+,476
698,443,+,1141
247,446,+,693
94,480,+,574
116,865,+,981
184,702,+,886
248,144,+,392
429,790,+,1219
980,628,+,1608
166,46,+,212
779,571,+,1350
142,125,+,267
156,92,+,248
719,544,+,1263
234,695,+,929
805,211,+,1016
504,503,+,1007
418,313,+,731
428,305,+,733
796,334,+,1130
551,182,+,733
710,464,+,1174
736,168,+,904
638,899,+,1537
539,685,+,1224
814,468,+,1282
746,542,+,1288
892,525,+,1417
266,243,+,509
290,502,+,792
956,995,+,1951
586,618,+,1204
561,997,+,1558
808,846,+,1654
101,830,+,931
121,326,+,447
286,600,+,886
843,964,+,1807
90,530,+,620
575,664,+,1239
423,752,+,1175
915,850,+,1765
927,925,+,1852
456,153,+,609
811,527,+,1338
927,145,+,1072
378,545,+,923
623,73,+,696
932,335,+,1267
326,762,+,1088
626,774,+,1400
194,886,+,1080
659,386,+,1045
924,180,+,1104
155,523,+,678
543,498,+,1041
831,305,+,1136
226,6,+,232
914,26,+,940
833,266,+,1099
989,737,+,1726
535,873,+,1408
697,389,+,1086
738,158,+,896
123,983,+,1106
105,910,+,1015
371,308,+,679
402,493,+,895
273,712,+,985
251,851,+,1102
894,604,+,1498
32,722,+,754
84,35,+,119
768,334,+,1102
592,484,+,1076
663,783,+,1446
145,439,+,584
386,54,+,440
264,821,+,1085
303,422,+,725
887,431,+,1318
438,32,+,470
928,742,+,1670
722,422,+,1144
101,787,+,888
261,522,+,783
167,412,+,579
164,217,+,381
383,431,+,814
547,785,+,1332
357,292,+,649
412,187,+,599
447,190,+,637
596,516,+,1112
59,971,+,1030
750,339,+,1089
881,897,+,1778
969,272,+,1241
814,794,+,1608
870,564,+,1434
761,647,+,1408
235,537,+,772
48,321,+,369
940,863,+,1803
20,407,+,427
339,191,+,530
947,29,+,976
186,16,+,202
277,555,+,832
781,363,+,1144
646,340,+,986
458,719,+,1177
761,635,+,1396
599,112,+,711
796,834,+,1630
612,355,+,967
719,269,+,988
335,140,+,475
914,252,+,1166
499,340,+,839
655,542,+,1197
67,542,+,609
237,625,+,862
316,853,+,1169
158,457,+,615
778,299,+,1077
601,47,+,648
31,615,+,646
297,957,+,1254
127,843,+,970
480,686,+,1166
398,446,+,844
796,434,+,1230
318,865,+,1183
256,841,+,1097
561,226,+,787
843,614,+,1457
528,51,+,579
659,732,+,1391
200,742,+,942
429,251,+,680
113,914,+,1027
27,808,+,835
64,758,+,822
352,212,+,564
20,355,+,375
9,148,+,157
205,963,+,1168
397,450,+,847
128,578,+,706
