valor1,valor2,operador,resultado
509,164,-,345
899,742,-,157
809,100,-,709
799,58,-,741
797,790,-,7
159,796,-,-637
250,747,-,-497
603,687,-,-84
758,777,-,-19
339,621,-,-282
762,511,-,251
994,317,-,677
954,642,-,312
597,756,-,-159
431,821,-,-390
303,821,-,-518
567,833,-,-266
329,886,-,-557
231,754,-,-523
838,12,-,826
717,316,-,401
989,380,-,609
475,741,-,-266
790,993,-,-203
60,425,-,-365
810,808,-,2
421,621,-,-200
909,231,-,678
849,962,-,-113
702,731,-,-29
530,676,-,-146
211,912,-,-701
717,229,-,488
695,739,-,-44
779,185,-,594
400,600,-,-200
474,21,-,453
106,511,-,-405
101,933,-,-832
807,809,-,-2
929,848,-,81
692,366,-,326
258,174,-,84
185,210,-,-25
397,633,-,-236
687,812,-,-125
200,175,-,25
764,593,-,171
324,777,-,-453
554,461,-,93
859,139,-,720
339,803,-,-464
131,750,-,-619
15,874,-,-859
576,579,-,-3
594,987,-,-393
749,763,-,-14
167,968,-,-801
53,326,-,-273
54,615,-,-561
162,189,-,-27
442,477,-,-35
536,871,-,-335
213,790,-,-577
198,59,-,139
614,636,-,-22
143,334,-,-191
803,181,-,622
184,564,-,-380
359,957,-,-598
794,597,-,197
704,588,-,116
841,932,-,-91
909,115,-,794
10,669,-,-659
178,575,-,-397
898,585,-,313
681,600,-,81
650,36,-,614
147,165,-,-18
637,898,-,-261
892,159,-,733
4,575,-,-571
484,278,-,206
423,7,-,416
804,881,-,-77
550,971,-,-421
255,41,-,214
628,909,-,-281
90,681,-,-591
785,950,-,-165
806,934,-,-128
613,376,-,237
213,508,-,-295
472,301,-,171
151,553,-,-402
693,727,-,-34
951,734,-,217
992,269,-,723
89,304,-,-215
709,665,-,44
457,324,-,133
123,384,-,-261
628,137,-,491
651,275,-,376
478,935,-,-457
742,787,-,-45
936,756,-,180
95,419,-,-324
724,592,-,132
362,417,-,-55
434,755,-,-321
780,501,-,279
274,730,-,-456
468,802,-,-334
501,598,-,-97
160,703,-,-543
878,973,-,-95
872,607,-,265
641,106,-,535
975,131,-,844
539,920,-,-381
561,278,-,283
465,128,-,337
589,962,-,-373
367,201,-,166
409,330,-,79
644,89,-,555
194,262,-,-68
908,700,-,208
707,657,-,50
566,208,-,358
830,109,-,721
778,431,-,347
156,645,-,-489
392,307,-,85
904,980,-,-76
629,611,-,18
818,514,-,304
108,158,-,-50
856,648,-,208
562,808,-,-246
56,270,-,-214
797,812,-,-15
362,355,-,7
409,808,-,-399
723,896,-,-173
957,435,-,522
295,535,-,-240
625,401,-,224
186,38,-,148
901,337,-,564
518,37,-,481
594,780,-,-186
941,670,-,271
484,442,-,42
435,34,-,401
758,736,-,22
578,179,-,399
571,463,-,108
679,439,-,240
836,535,-,301
543,761,-,-218
266,216,-,50
878,836,-,42
401,665,-,-264
433,830,-,-397
820,873,-,-53
463,899,-,-436
205,594,-,-389
324,395,-,-71
146,454,-,-308
792,752,-,40
953,324,-,629
405,906,-,-501
960,428,-,532
808,295,-,513
509,63,-,446
7,873,-,-866
642,953,-,-311
830,355,-,475
398,994,-,-596
395,935,-,-540
225,116,-,109
504,670,-,-166
249,516,-,-267
106,282,-,-176
495,615,-,-120
629,641,-,-12
210,210,-,0
149,67,-,82
562,821,-,-259
89,989,-,-900
45,867,-,-822
503,530,-,-27
486,96,-,390
560,875,-,-315
928,536,-,392
222,884,-,-662
861,180,-,681
559,593,-,-34
907,444,-,463
634,48,-,586
140,757,-,-617
233,689,-,-456
743,628,-,115
356,67,-,289
827,453,-,374
687,84,-,603
208,688,-,-480
416,689,-,-273
846,661,-,185
453,888,-,-435
617,528,-,89
894,75,-,819
638,181,-,457
495,372,-,123
859,872,-,-13
156,376,-,-220
574,503,-,71
102,215,-,-113
381,512,-,-131
330,574,-,-244
893,559,-,334
297,826,-,-529
933,192,-,741
737,437,-,300
689,20,-,669
293,802,-,-509
850,359,-,491
734,883,-,-149
602,936,-,-334
142,921,-,-779
172,329,-,-157
155,804,-,-649
507,432,-,75
672,305,-,367
4,204,-,-200
761,673,-,88
324,356,-,-32
353,562,-,-209
55,790,-,-735
635,700,-,-65
677,32,-,645
814,159,-,655
401,728,-,-327
117,980,-,-863
859,128,-,731
675,979,-,-304
245,728,-,-483
976,37,-,939
292,403,-,-111
744,7,-,737
317,815,-,-498
915,981,-,-66
513,588,-,-75
106,782,-,-676
19,967,-,-948
775,809,-,-34
285,214,-,71
82,704,-,-622
878,9,-,869
619,880,-,-261
156,924,-,-768
971,246,-,725
531,808,-,-277
637,336,-,301
381,229,-,152
48,652,-,-604
667,321,-,346
129,680,-,-551
456,976,-,-520
954,9,-,945
637,814,-,-177
402,103,-,299
265,466,-,-201
670,31,-,639
816,921,-,-105
72,294,-,-222
902,893,-,9
161,922,-,-761
140,585,-,-445
651,625,-,26
737,560,-,177
764,381,-,383
161,154,-,7
733,234,-,499
149,802,-,-653
943,640,-,303
346,358,-,-12
629,590,-,39
287,954,-,-667
258,840,-,-582
862,733,-,129
963,129,-,834
477,692,-,-215
400,712,-,-312
574,671,-,-97
230,591,-,-361
343,326,-,17
952,358,-,594
745,522,-,223
112,46,-,66
479,577,-,-98
458,564,-,-106
80,121,-,-41
103,258,-,-155
782,108,-,674
395,554,-,-159
827,546,-,281
382,355,-,27
415,48,-,367
151,336,-,-185
90,645,-,-555
475,553,-,-78
85,46,-,39
390,72,-,318
888,695,-,193
257,212,-,45
611,926,-,-315
779,580,-,199
556,394,-,162
52,818,-,-766
36,853,-,-817
314,321,-,-7
108,100,-,8
795,900,-,-105
845,310,-,535
787,51,-,736
398,688,-,-290
205,746,-,-541
336,914,-,-578
302,445,-,-143
28,848,-,-820
481,899,-,-418
336,514,-,-178
549,65,-,484
678,79,-,599
831,987,-,-156
33,547,-,-514
74,542,-,-468
203,727,-,-524
343,359,-,-16
43,35,-,8
528,644,-,-116
353,3,-,350
931,569,-,362
235,856,-,-621
75,66,-,9
911,534,-,377
295,529,-,-234
253,398,-,-145
188,884,-,-696
971,737,-,234
164,937,-,-773
172,980,-,-808
761,520,-,241
175,293,-,-118
398,577,-,-179
767,418,-,349
118,785,-,-667
285,578,-,-293
298,191,-,107
852,853,-,-1
389,284,-,105
148,108,-,40
929,975,-,-46
192,617,-,-425
945,553,-,392
19,728,-,-709
40,528,-,-488
612,814,-,-202
443,490,-,-47
875,401,-,474
652,425,-,227
61,530,-,-469
951,276,-,675
576,394,-,182
272,175,-,97
774,123,-,651
771,573,-,198
677,396,-,281
58,387,-,-329
366,866,-,-500
769,125,-,644
242,913,-,-671
613,95,-,518
754,642,-,112
839,890,-,-51
814,147,-,667
985,925,-,60
661,837,-,-176
646,897,-,-251
385,40,-,345
471,209,-,262
800,955,-,-155
193,951,-,-758
481,200,-,281
374,867,-,-493
152,847,-,-695
916,358,-,558
326,664,-,-338
399,291,-,108
335,703,-,-368
416,954,-,-538
548,279,-,269
304,228,-,76
311,56,-,255
829,944,-,-115
981,875,-,106
680,381,-,299
805,97,-,708
30,272,-,-242
497,505,-,-8
814,509,-,305
931,561,-,370
950,188,-,762
220,279,-,-59
210,662,-,-452
69,760,-,-691
595,893,-,-298
919,29,-,890
537,802,-,-265
266,713,-,-447
257,729,-,-472
518,292,-,226
369,366,-,3
318,145,-,173
673,425,-,248
152,613,-,-461
668,653,-,15
977,415,-,562
974,448,-,526
499,959,-,-460
573,629,-,-56
666,151,-,515
593,208,-,385
521,629,-,-108
83,575,-,-492
913,975,-,-62
658,127,-,531
362,248,-,114
909,990,-,-81
834,836,-,-2
281,195,-,86
247,123,-,124
169,757,-,-588
518,410,-,108
866,107,-,759
682,330,-,352
483,309,-,174
866,727,-,139
754,539,-,215
832,426,-,406
44,967,-,-923
909,86,-,823
311,944,-,-633
689,140,-,549
63,486,-,-423
428,720,-,-292
502,243,-,259
379,472,-,-93
308,386,-,-78
668,83,-,585
127,143,-,-16
571,704,-,-133
505,853,-,-348
224,802,-,-578
735,860,-,-125
879,81,-,798
788,291,-,497
826,874,-,-48
546,777,-,-231
923,320,-,603
627,688,-,-61
936,514,-,422
18,985,-,-967
323,194,-,129
601,801,-,-200
192,492,-,-300
387,646,-,-259
755,805,-,-50
526,139,-,387
686,581,-,105
272,528,-,-256
11,812,-,-801
534,631,-,-97
23,48,-,-25
706,867,-,-161
822,263,-,559
828,912,-,-84
148,303,-,-155
922,504,-,418
817,598,-,219
435,503,-,-68
247,737,-,-490
916,60,-,856
66,266,-,-200
899,703,-,196
243,925,-,-682
193,193,-,0
188,378,-,-190
862,92,-,770
434,549,-,-115
730,677,-,53
355,114,-,241
2,332,-,-330
283,147,-,136
210,163,-,47
234,653,-,-419
489,753,-,-264
555,435,-,120
616,782,-,-166
959,731,-,228
372,184,-,188
221,563,-,-342
48,103,-,-55
39,621,-,-582
301,190,-,111
413,541,-,-128
931,730,-,201
546,944,-,-398
740,695,-,45
165,722,-,-557
267,247,-,20
425,59,-,366
223,418,-,-195
630,557,-,73
470,711,-,-241
381,392,-,-11
121,166,-,-45
618,337,-,281
585,45,-,540
22,655,-,-633
800,360,-,440
170,339,-,-169
269,14,-,255
953,290,-,663
135,944,-,-809
439,633,-,-194
568,200,-,368
716,292,-,424
500,80,-,420
918,217,-,701
998,106,-,892
196,220,-,-24
731,300,-,431
282,101,-,181
513,125,-,388
875,185,-,690
328,966,-,-638
101,769,-,-668
806,967,-,-161
511,902,-,-391
306,505,-,-199
306,225,-,81
272,98,-,174
165,771,-,-606
368,620,-,-252
959,704,-,255
290,270,-,20
761,685,-,76
331,350,-,-19
360,579,-,-219
14,549,-,-535
604,746,-,-142
634,885,-,-251
454,272,-,182
327,670,-,-343
625,839,-,-214
876,703,-,173
874,845,-,29
428,625,-,-197
824,89,-,735
925,388,-,537
362,187,-,175
971,181,-,790
558,420,-,138
926,254,-,672
826,647,-,179
849,152,-,697
931,46,-,885
577,211,-,366
227,143,-,84
629,883,-,-254
336,80,-,256
683,32,-,651
631,150,-,481
139,153,-,-14
951,379,-,572
204,106,-,98
455,553,-,-98
884,609,-,275
280,388,-,-108
385,750,-,-365
689,184,-,505
734,294,-,440
648,690,-,-42
27,105,-,-78
855,443,-,412
549,764,-,-215
601,782,-,-181
333,147,-,186
954,605,-,349
43,841,-,-798
329,874,-,-545
745,300,-,445
459,374,-,85
896,430,-,466
321,966,-,-645
656,946,-,-290
424,634,-,-210
45,587,-,-542
729,55,-,674
331,717,-,-386
851,771,-,80
483,743,-,-260
953,344,-,609
300,840,-,-540
322,950,-,-628
991,195,-,796
451,924,-,-473
957,810,-,147
808,979,-,-171
685,444,-,241
286,97,-,189
388,809,-,-421
179,44,-,135
610,292,-,318
516,66,-,450
407,925,-,-518
487,432,-,55
402,45,-,357
479,42,-,437
750,307,-,443
127,715,-,-588
159,793,-,-634
561,968,-,-407
650,9,-,641
719,649,-,70
69,218,-,-149
175,837,-,-662
490,215,-,275
209,165,-,44
634,413,-,221
522,549,-,-27
566,204,-,362
524,540,-,-16
467,546,-,-79
664,34,-,630
130,586,-,-456
678,721,-,-43
195,56,-,139
773,126,-,647
731,90,-,641
636,916,-,-280
449,222,-,227
955,723,-,232
2,842,-,-840
813,448,-,365
991,383,-,608
968,709,-,259
547,565,-,-18
634,29,-,605
673,824,-,-151
381,491,-,-110
277,192,-,85
2,425,-,-423
908,703,-,205
93,761,-,-668
407,905,-,-498
235,226,-,9
375,599,-,-224
772,123,-,649
483,666,-,-183
422,732,-,-310
494,381,-,113
963,960,-,3
710,257,-,453
247,118,-,129
657,780,-,-123
805,111,-,694
946,948,-,-2
379,284,-,95
551,65,-,486
216,139,-,77
522,812,-,-290
6,800,-,-794
794,941,-,-147
250,806,-,-556
129,661,-,-532
534,960,-,-426
984,455,-,529
4,732,-,-728
442,774,-,-332
690,499,-,191
901,712,-,189
611,995,-,-384
401,299,-,102
164,11,-,153
590,448,-,142
296,560,-,-264
888,107,-,781
505,390,-,115
315,516,-,-201
869,75,-,794
313,694,-,-381
908,477,-,431
51,362,-,-311
886,803,-,83
882,169,-,713
35,56,-,-21
470,812,-,-342
215,868,-,-653
6,563,-,-557
920,795,-,125
298,601,-,-303
720,859,-,-139
364,419,-,-55
958,958,-,0
745,227,-,518
660,190,-,470
819,233,-,586
28,453,-,-425
171,186,-,-15
290,604,-,-314
242,660,-,-418
212,596,-,-384
203,490,-,-287
891,74,-,817
549,632,-,-83
195,848,-,-653
22,866,-,-844
694,774,-,-80
449,40,-,409
772,577,-,195
957,377,-,580
4,611,-,-607
369,791,-,-422
766,491,-,275
684,617,-,67
990,897,-,93
403,671,-,-268
122,950,-,-828
79,827,-,-748
391,526,-,-135
529,763,-,-234
888,58,-,830
541,311,-,230
232,431,-,-199
