valor1,valor2,operador,resultado
591,870,+,1461
979,502,+,1481
44,732,+,776
988,613,+,1601
464,207,+,671
77,214,+,291
238,855,+,1093
463,644,+,1107
556,648,+,1204
157,446,+,603
129,106,+,235
9,958,+,967
517,209,+,726
719,952,+,1671
883,826,+,1709
285,769,+,1054
39,426,+,465
170,32,+,202
504,517,+,1021
986,315,+,1301
730,205,+,935
842,6,+,848
359,46,+,405
617,432,+,1049
999,230,+,1229
919,125,+,1044
613,980,+,1593
718,144,+,862
279,988,+,1267
894,792,+,1686
19,316,+,335
430,657,+,1087
490,845,+,1335
905,945,+,1850
350,914,+,1264
609,669,+,1278
671,217,+,888
758,490,+,1248
748,334,+,1082
58,832,+,890
962,449,+,1411
814,760,+,1574
61,468,+,529
745,986,+,1731
43,428,+,471
214,177,+,391
253,846,+,1099
565,721,+,1286
634,37,+,671
233,862,+,1095
903,162,+,1065
224,924,+,1148
585,554,+,1139
998,802,+,1800
919,497,+,1416
52,805,+,857
769,45,+,814
527,191,+,718
637,287,+,924
84,753,+,837
194,480,+,674
258,213,+,471
547,790,+,1337
692,442,+,1134
276,116,+,392
510,982,+,1492
872,840,+,1712
864,773,+,1637
882,439,+,1321
131,425,+,556
604,519,+,1123
909,543,+,1452
53,486,+,539
860,867,+,1727
197,70,+,267
106,417,+,523
62,500,+,562
65,208,+,273
627,120,+,747
369,481,+,850
386,101,+,487
829,211,+,1040
686,303,+,989
975,458,+,1433
575,410,+,985
199,372,+,571
495,43,+,538
205,295,+,500
936,79,+,1015
234,607,+,841
285,215,+,500
264,980,+,1244
541,832,+,1373
422,238,+,660
591,288,+,879
751,179,+,930
511,221,+,732
883,292,+,1175
633,274,+,907
641,295,+,936
360,353,+,713
512,81,+,593
18,514,+,532
148,57,+,205
416,443,+,859
274,578,+,852
666,346,+,1012
344,838,+,1182
938,591,+,1529
176,932,+,1108
272,31,+,303
332,551,+,883
360,522,+,882
113,626,+,739
280,837,+,1117
644,339,+,983
496,490,+,986
502,908,+,1410
817,669,+,1486
269,510,+,779
531,830,+,1361
198,880,+,1078
112,646,+,758
387,146,+,533
49,318,+,367
186,144,+,330
616,620,+,1236
799,670,+,1469
725,173,+,898
763,294,+,1057
938,539,+,1477
981,39,+,1020
49,262,+,311
969,785,+,1754
953,773,+,1726
115,54,+,169
99,463,+,562
321,116,+,437
163,147,+,310
872,289,+,1161
884,742,+,1626
93,946,+,1039
720,54,+,774
160,814,+,974
602,296,+,898
754,724,+,1478
730,556,+,1286
327,770,+,1097
796,994,+,1790
877,726,+,1603
